<Therapeutic>Die Operation(en)</Therapeutic> führten zu <Diagnostic>unterschiedlichen Histologie(n)</Diagnostic>.,<Therapeutic>Operation(en)</Therapeutic> und <Diagnostic>Histologie(n)</Diagnostic>:,"{'id': 15, 'type': 'sentence', 'text': 'Operation(en) und Histologie(n):', 'offsets': [[636, 668]], 'document_id': 'Colon_Fake_F.tsv'}"
"<Other_Finding>Kein Harnstau in der rechten Niere</Other_Finding>, <Other_Finding>Linke Niere und Milz nicht einsehbar</Other_Finding>.","<Other_Finding>Niere re kein Harnstau</Other_Finding>, <Other_Finding>Niere links+Milz nicht einsehbar</Other_Finding>.","{'id': 53, 'type': 'sentence', 'text': 'Niere re kein Harnstau, Niere links+Milz nicht einsehbar.', 'offsets': [[3854, 3911]], 'document_id': 'Amanda_Alzheimer.tsv'}"
"<Diagnostic>Röntgen-Thorax in 2 Ebenen mit <External_Substance>Breischluck</External_Substance></Diagnostic>: <Other_Finding>Linksbetontes Herz mit einem CT-Quotienten von 0,42 und freiem Retrokardialraum</Other_Finding>. <Other_Finding>Beidseitig dichte Hili</Other_Finding>. <Diagnosis_or_Pathology>Aortensklerose</Diagnosis_or_Pathology>. <Other_Finding>Lungen und Sinus ohne Befund</Other_Finding>.","<Diagnostic>Rö.-Thorax in 2 Eb. Mit <External_Substance>Breischluck</Diagnostic></External_Substance>: <Other_Finding>Li. betontes Herz mit einem CT-Quot. von 0,42 u. freiem Retrokardialraum</Other_Finding>. <Other_Finding>Bds. dichte Hili</Other_Finding>. <Diagnosis_or_Pathology>Aortensklerose</Diagnosis_or_Pathology>. <Other_Finding>Lungen u. Sinus o.B.</Other_Finding>","{'id': 12, 'type': 'sentence', 'text': 'Rö.-Thorax in 2 Eb. Mit Breischluck: Li. betontes Herz mit einem CT-Quot. von 0,42 u. freiem Retrokardialraum. Bds. dichte Hili. Aortensklerose. Lungen u. Sinus o.B.', 'offsets': [[1434, 1599]], 'document_id': 'Jenninger.tsv'}"
Das Landeskrankenhaus Neustadt verfügt über eine <Diagnosis_or_Pathology>Epilepsie-Einheit</Diagnosis_or_Pathology>.,"Landeskrankenhaus Neustadt, <Diagnosis_or_Pathology>Epilepsie-Einheit</Diagnosis_or_Pathology>","{'id': 1, 'type': 'sentence', 'text': 'Landeskrankenhaus Neustadt, Epilepsie-Einheit', 'offsets': [[0, 45]], 'document_id': 'Gebauer.tsv'}"
<Other_Finding>Normofrequenter Sinusrhythmus</Other_Finding>. Keine <Diagnosis_or_Pathology>signifikanten Pausen oder Blockierungen</Diagnosis_or_Pathology>. <Diagnosis_or_Pathology>Erhöhtes Vorkommen von supraventrikulären Extrasystolen (SVES)</Diagnosis_or_Pathology>. Keine <Diagnosis_or_Pathology>höhergradigen Herzrhythmusstörungen (HRS)</Diagnosis_or_Pathology>.,<Other_Finding>Normofrequenter SR</Other_Finding>. Keine <Diagnosis_or_Pathology>signifikanten Pausen oder Blockierungen</Diagnosis_or_Pathology>. <Diagnosis_or_Pathology>In Phasen erhöhtes Vorkommen von SVES</Diagnosis_or_Pathology>. Keine <Diagnosis_or_Pathology>höhergradigen HRS</Diagnosis_or_Pathology>.,"{'id': 33, 'type': 'sentence', 'text': 'Normofrequenter SR. Keine signifikanten Pausen oder Blockierungen. In Phasen erhöhtes Vorkommen von SVES. Keine höhergradigen HRS.', 'offsets': [[2635, 2765]], 'document_id': 'Fabry.tsv'}"
"Hirnnerven: <Other_Finding>Isokore Pupillen</Other_Finding>, <Other_Finding>prompte Reaktion auf Lichtreflexe, stetig</Other_Finding>, <Other_Finding>unbeeinträchtigte Beweglichkeit des Augapfels</Other_Finding>, <Other_Finding>unbeeinträchtigtes Fingerperimetrie-Gesichtsfeld</Other_Finding>","Hirnnerven: <Other_Finding>Pupillen isocor</Other_Finding>, <Other_Finding>LR prompt, stgl.</Other_Finding>, <Other_Finding>Bulbusmotilität unbeeinträchtigt</Other_Finding>, <Other_Finding>Gesichtsfeld fingerperimetrisch unbeeinträchtigt</Other_Finding>,","{'id': 29, 'type': 'sentence', 'text': 'Hirnnerven: Pupillen isocor, LR prompt, stgl., Bulbusmotilität unbeeinträchtigt, Gesichtsfeld fingerperimetrisch unbeeinträchtigt,', 'offsets': [[1106, 1236]], 'document_id': 'Colon_Fake_H.tsv'}"
Die Stadt <Diagnosis_or_Pathology>p N+MX</Diagnosis_or_Pathology> <Diagnosis_or_Pathology>G2</Diagnosis_or_Pathology> wird immer beliebter bei Touristen.,Stad.: <Diagnosis_or_Pathology>p N+MX</Diagnosis_or_Pathology> <Diagnosis_or_Pathology>G2</Diagnosis_or_Pathology>,"{'id': 16, 'type': 'sentence', 'text': 'Stad.: p N+MX G2', 'offsets': [[630, 646]], 'document_id': 'Colon_Fake_E.tsv'}"
Weiteres <Therapeutic>Prozedere</Therapeutic>: Das <Therapeutic>Prozedere</Therapeutic> wurde vom Arzt erklärt und die <Patienten>patienten</Patienten> stimmten zu.,Weiteres <Therapeutic>Prozedere</Therapeutic>:,"{'id': 61, 'type': 'sentence', 'text': 'Weiteres Prozedere:', 'offsets': [[2215, 2234]], 'document_id': 'Colon_Fake_C.tsv'}"
"<Therapeutic>Die Krankengymnastik</Therapeutic> war sehr hilfreich für meine Rückenschmerzen.

<Diagnostic>Blutdruckmessung</Diagnostic>
<Diagnostic>Die Blutdruckmessung</Diagnostic> ergab einen erhöhten Wert.

<Organ>Lunge</Organ>
Die <Organ>Lunge</Organ> ist ein wichtiges Atmungsorgan.

<Medication>Antibiotikum</Medication>
Das <Medication>Antibiotikum</Medication> hat meine Infektion geheilt.

<Procedure>Operation</Procedure>
Die <Procedure>Operation</Procedure> verlief erfolgreich.

<Anatomy>Magen</Anatomy>
Der <Anatomy>Magen</Anatomy> ist ein Teil des Verdauungssystems.

<Disease>Diabetes</Disease>
<Diease>Diabetes</Disease> ist eine Stoffwechselerkrankung.

<Symptom>Fieber</Symptom>
Das <Symptom>Fieber</Symptom> ist ein Anzeichen für eine Infektion.

<LabTest>Blutbild</LabTest>
Das <LabTest>Blutbild</LabTest> zeigte eine Anämie.",<Therapeutic>Krankengymnastik</Therapeutic>,"{'id': 71, 'type': 'sentence', 'text': 'Krankengymnastik', 'offsets': [[7105, 7121]], 'document_id': 'Theodor.tsv'}"
<Diagnosis_or_Pathology>Die Diagnosen</Diagnosis_or_Pathology> lauten: <Diagnosis_or_Pathology>narbige Blasenhalsstenose</Diagnosis_or_Pathology> und <Therapeutic>Prostata-Adenom-Enukleatio</Therapeutic> im Jahr 2006.,<Diagnosis_or_Pathology>Diagnosen</Diagnosis_or_Pathology>: <Diagnosis_or_Pathology>Narbige Blasanhalsstenose. nach <Therapeutic>Prostata-Adenom-Enukleatio</Diagnosis_or_Pathology></Therapeutic> 2006.,"{'id': 17, 'type': 'sentence', 'text': 'Diagnosen: Narbige Blasanhalsstenose. nach Prostata-Adenom-Enukleatio 2006.', 'offsets': [[464, 539]], 'document_id': 'Baastrup.tsv'}"
"<Clinical_Drug>NaCl 0,9%</Clinical_Drug> wird mit einer Rate von <Clinical_Drug>9,0ml/h</Clinical_Drug> (in einer Menge von <Clinical_Drug>500ml</Clinical_Drug>) verabreicht.","<Clinical_Drug>NaCl 0,9%  - 9,0ml/h (500ml</Clinical_Drug> )","{'id': 74, 'type': 'sentence', 'text': 'NaCl 0,9%  - 9,0ml/h (500ml )', 'offsets': [[5362, 5391]], 'document_id': 'Amanda_Alzheimer.tsv'}"
"<Diagnostic>Die durchgeführten Untersuchungen</Diagnostic>

<Therapeutic>Verabreichte Medikamente</Therapeutic>
<Therapeutic>Die verabreichten Medikamente</Therapeutic>

<Anatomy>Verletzungen am Arm</Anatomy>
<Anatomy>Die Verletzungen am Arm</Anatomy>

<Organization>Organisation des Events</Organization>
<Organization>Die Organisation des Events</Organization>

<Person>Erwähnte Personen</Person>
<Person>Die erwähnten Personen</Person>

<Location>Ort des Geschehens</Location>
<Location>Der Ort des Geschehens</Location>",<Diagnostic>Durchgeführte Untersuchungen</Diagnostic>,"{'id': 32, 'type': 'sentence', 'text': 'Durchgeführte Untersuchungen', 'offsets': [[1929, 1957]], 'document_id': 'Colon_Fake_D.tsv'}"
