,sentence_id,prediction,match,category
0,2,"(159, 175, 'Therapeutic', 'stat. Behandlung')","(159, 175, 'Therapeutic', 'stat. Behandlung')",true_positive
1,3,"(198, 204, 'Other_Finding', 'Befund')","(198, 204, 'Other_Finding', 'Befund')",true_positive
2,3,(),"(184, 197, 'Other_Finding', 'Vorgeschichte')",false_negative
3,4,"(207, 233, 'Diagnosis_or_Pathology', 'Verbrennung 1. – 3. Grades')",(),false_positive
4,4,(),"(207, 255, 'Diagnosis_or_Pathology', 'Verbrennung 1. – 3. Grades, Kopf I Hals,5% v KOF')",false_negative
5,5,"(258, 272, 'Therapeutic', 'Handamputation')",(),false_positive
6,5,(),"(258, 275, 'Diagnosis_or_Pathology', 'Handamputation LI')",false_negative
7,6,"(278, 326, 'Diagnosis_or_Pathology', 'Akute Psychose aus dem schizophrenen Formenkreis')","(278, 326, 'Diagnosis_or_Pathology', 'Akute Psychose aus dem schizophrenen Formenkreis')",true_positive
8,6,"(278, 292, 'Diagnosis_or_Pathology', 'Akute Psychose')",(),false_positive
9,7,(),"(329, 345, 'Diagnosis_or_Pathology', 'Selbstschädigung')",false_negative
10,8,"(348, 362, 'Diagnostic', 'Blutungsanamie')",(),false_positive
11,8,(),"(348, 362, 'Diagnosis_or_Pathology', 'Blutungsanamie')",false_negative
12,9,"(365, 377, 'Diagnosis_or_Pathology', 'Hypokaliämie')","(365, 377, 'Diagnosis_or_Pathology', 'Hypokaliämie')",true_positive
13,10,"(380, 402, 'Diagnosis_or_Pathology', 'Arterieller Hypertonus')","(380, 402, 'Diagnosis_or_Pathology', 'Arterieller Hypertonus')",true_positive
14,11,"(405, 434, 'Diagnosis_or_Pathology', 'Symptomatisches Anfallsleiden')","(405, 434, 'Diagnosis_or_Pathology', 'Symptomatisches Anfallsleiden')",true_positive
15,12,"(447, 470, 'Diagnosis_or_Pathology', 'St.p.  Aneurysmablutung')",(),false_positive
16,12,(),"(447, 470, 'Other_Finding', 'St.p.  Aneurysmablutung')",false_negative
17,13,"(473, 501, 'Diagnosis_or_Pathology', 'Passagerer Diabetes mellitus')","(473, 501, 'Diagnosis_or_Pathology', 'Passagerer Diabetes mellitus')",true_positive
18,14,"(514, 530, 'Diagnosis_or_Pathology', 'Handreplantaticm')",(),false_positive
19,14,(),"(514, 530, 'Therapeutic', 'Handreplantaticm')",false_negative
20,15,(),"(544, 552, 'Therapeutic', 'Revision')",false_negative
21,16,"(565, 590, 'Therapeutic', 'Nekrosektomie Kopf / Hals')","(565, 590, 'Therapeutic', 'Nekrosektomie Kopf / Hals')",true_positive
22,17,"(603, 613, 'Therapeutic', 'Jet-Lavage')",(),false_positive
23,17,"(615, 626, 'Therapeutic', 'Debridement')",(),false_positive
24,17,"(631, 654, 'Therapeutic', 'VAG Wechsel linken Hand')",(),false_positive
25,17,(),"(603, 654, 'Therapeutic', 'Jet-Lavage, Debridement und VAG Wechsel linken Hand')",false_negative
26,18,"(667, 677, 'Therapeutic', 'Jet-Lavage')",(),false_positive
27,18,"(679, 690, 'Therapeutic', 'Debridement')",(),false_positive
28,18,"(695, 706, 'Therapeutic', 'VAG-Wechsel')",(),false_positive
29,18,"(695, 717, 'Therapeutic', 'VAG-Wechsel linke Hand')",(),false_positive
30,18,(),"(667, 717, 'Therapeutic', 'Jet-Lavage, Debridement und VAG-Wechsel linke Hand')",false_negative
31,19,"(729, 752, 'Therapeutic', 'Nachdebridement am Kopf')","(729, 752, 'Therapeutic', 'Nachdebridement am Kopf')",true_positive
32,19,"(754, 776, 'Therapeutic', 'VAG-Wechsel linke Hand')","(754, 776, 'Therapeutic', 'VAG-Wechsel linke Hand')",true_positive
33,19,"(729, 776, 'Therapeutic', 'Nachdebridement am Kopf, VAG-Wechsel linke Hand')",(),false_positive
34,20,"(789, 858, 'Therapeutic', 'Weicliteildeckung mit Spalthautsheet und Keratinozytensprühsuspension')","(789, 858, 'Therapeutic', 'Weicliteildeckung mit Spalthautsheet und Keratinozytensprühsuspension')",true_positive
35,20,"(789, 825, 'Therapeutic', 'Weicliteildeckung mit Spalthautsheet')",(),false_positive
36,20,"(830, 858, 'Therapeutic', 'Keratinozytensprühsuspension')",(),false_positive
37,21,"(871, 882, 'Therapeutic', 'Debridement')",(),false_positive
38,21,"(884, 894, 'Therapeutic', 'Jet Lavage')",(),false_positive
39,21,"(884, 922, 'Therapeutic', 'Jet Lavage Lind VAC Wechsel linke Hand')",(),false_positive
40,21,"(900, 922, 'Therapeutic', 'VAC Wechsel linke Hand')",(),false_positive
41,21,(),"(871, 922, 'Therapeutic', 'Debridement, Jet Lavage Lind VAC Wechsel linke Hand')",false_negative
42,22,(),"(934, 964, 'Therapeutic', 'Restdefektdeckung Kopf u. Hals')",false_negative
43,22,(),"(966, 972, 'Therapeutic', 'Sheets')",false_negative
44,22,(),"(975, 999, 'Therapeutic', 'Defektdeckung Handrücken')",false_negative
45,23,"(1011, 1029, 'Therapeutic', 'K-Draht-Entfernung')",(),false_positive
46,23,(),"(1011, 1044, 'Therapeutic', 'K-Draht-Entfernung Ii. Handgelenk')",false_negative
47,24,"(1091, 1106, 'Diagnosis_or_Pathology', 'Wahnvorstellung')","(1091, 1106, 'Diagnosis_or_Pathology', 'Wahnvorstellung')",true_positive
48,24,"(1639, 1646, 'Diagnostic', 'Kopf-CT')","(1639, 1646, 'Diagnostic', 'Kopf-CT')",true_positive
49,24,"(1504, 1540, 'Therapeutic', 'komplette Amputation der linken Hand')",(),false_positive
50,24,"(1661, 1707, 'Other_Finding', 'Nachweis frischer intrakranieller Traumafolgen')",(),false_positive
51,24,(),"(1143, 1168, 'Diagnosis_or_Pathology', 'Ii. Hand selbst amputiert')",false_negative
52,24,(),"(1182, 1202, 'Diagnosis_or_Pathology', 'Haupthaar angezündet')",false_negative
53,24,(),"(1354, 1370, 'Diagnosis_or_Pathology', 'abgetrennte Hand')",false_negative
54,24,(),"(1504, 1540, 'Diagnosis_or_Pathology', 'komplette Amputation der linken Hand')",false_negative
55,24,(),"(1606, 1633, 'Diagnosis_or_Pathology', 'll bis Ill gradig verbrannt')",false_negative
56,24,(),"(1661, 1707, 'Diagnosis_or_Pathology', 'Nachweis frischer intrakranieller Traumafolgen')",false_negative
57,24,(),"(1712, 1753, 'Other_Finding', 'Zustand nach osteoplastischer Trepanation')",false_negative
58,24,(),"(1725, 1813, 'Therapeutic', 'osteoplastischer Trepanation der hinteren Schädelgrube links sowie rechts frontotemporal')",false_negative
59,24,(),"(1818, 1947, 'Therapeutic', 'nachweisbare  Gefa-Clips links infratentoriell im Bereich der linken A. vertebralis sowie im Bereich der A . cerebri media rechts')",false_negative
60,26,"(2148, 2172, 'Diagnosis_or_Pathology', 'streckseitiger WT-Defekt')","(2148, 2172, 'Diagnosis_or_Pathology', 'streckseitiger WT-Defekt')",true_positive
61,26,"(2214, 2232, 'Diagnosis_or_Pathology', 'verbrannten Areale')","(2214, 2232, 'Diagnosis_or_Pathology', 'verbrannten Areale')",true_positive
62,26,"(2379, 2402, 'Diagnosis_or_Pathology', 'Brandverletztenzentrums')","(2379, 2402, 'Diagnosis_or_Pathology', 'Brandverletztenzentrums')",true_positive
63,26,"(2089, 2123, 'Therapeutic', 'die ganze Nacht dauerndem Eingriff')",(),false_positive
64,26,"(2192, 2200, 'Clinical_Drug', 'Vacuseal')",(),false_positive
65,26,"(2266, 2286, 'Therapeutic', 'Lavaseptgelverbänden')",(),false_positive
66,26,(),"(2045, 2062, 'Therapeutic', 'operativ versorgt')",false_negative
67,26,(),"(2115, 2123, 'Therapeutic', 'Eingriff')",false_negative
68,26,(),"(2124, 2135, 'Therapeutic', 'replantiert')",false_negative
69,26,(),"(2179, 2208, 'Therapeutic', 'temporär mit Vacuseal gedeckt')",false_negative
70,26,(),"(2249, 2295, 'Therapeutic', 'antiseptisch mit Lavaseptgelverbänden versorgt')",false_negative
71,26,(),"(2328, 2338, 'Therapeutic', 'intuobiert')",false_negative
72,26,(),"(2343, 2350, 'Therapeutic', 'beatmet')",false_negative
73,27,"(2444, 2476, 'Therapeutic', 'Wundrevision mil Vacusealwechsel')","(2444, 2476, 'Therapeutic', 'Wundrevision mil Vacusealwechsel')",true_positive
